location,way_points,waypoints_location,waypoints_instruction
51,4,"[-94.776165, 29.315317]",Turn left onto University Boulevard - 6th Street.
51,5,"[-94.775748, 29.314063]",Your destination is on the left.
52,0,"[-94.775748, 29.314063]",Drive south on University Boulevard - 6th Street.
52,1,"[-94.775628, 29.313701]",Turn right onto Harborside Drive/TX 275.
52,2,"[-94.778519, 29.31292]",Turn left.
52,3,"[-94.778199, 29.312108]",You have arrived at your destination.
53,0,"[-94.778199, 29.312108]",Drive northwest.
53,1,"[-94.778519, 29.31292]",Turn left onto Harborside Drive/TX 275.
53,2,"[-94.78441, 29.310752]",Turn left onto 14th Street.
53,3,"[-94.783456, 29.307938]",Your destination is on the right.
54,0,"[-94.783456, 29.307938]",Drive south on 14th Street.
54,1,"[-94.78312, 29.306968]",Your destination is on the left.
55,0,"[-94.78312, 29.306968]",Drive south on 14th Street.
55,1,"[-94.782672, 29.305655]",Your destination is on the left.
56,0,"[-94.782672, 29.305655]",Drive south on 14th Street.
56,1,"[-94.782618, 29.305498]",Turn left onto Winnie Street - Avenue G.
56,2,"[-94.782449, 29.305542]",Your destination is on the right.
57,0,"[-94.782449, 29.305542]",Drive east on Winnie Street - Avenue G.
57,1,"[-94.781462, 29.305799]",Turn right onto 13th Street.
57,2,"[-94.780576, 29.303174]",Turn right onto Broadway - Avenue J/TX 87.
57,3,"[-94.784013, 29.302281]",Turn left onto 16th Street.
57,4,"[-94.783418, 29.300544]",Your destination is on the left.
58,0,"[-94.783418, 29.300544]",Drive south on 16th Street.
58,1,"[-94.783346, 29.300329]",Turn right onto Avenue L.
58,2,"[-94.791345, 29.298247]",Turn left onto Tremont Avenue - 23rd Street.
58,3,"[-94.791145, 29.297662]",Your destination is on the left.
59,0,"[-94.791145, 29.297662]",Drive south on Tremont Avenue - 23rd Street.
59,1,"[-94.791047, 29.297375]",Turn right onto Avenue M.
59,2,"[-94.792216, 29.297071]",Turn right onto 24th Street.
59,3,"[-94.79251, 29.29794]",Turn right onto Avenue L.
59,4,"[-94.791345, 29.298247]",Turn left onto Tremont Avenue - 23rd Street.
59,5,"[-94.791555, 29.298859]",Your destination is on the right.
60,0,"[-94.791555, 29.298859]",Drive north on Tremont Avenue - 23rd Street.
60,1,"[-94.791555, 29.298859]",Your destination is on the right.
61,0,"[-94.791555, 29.298859]",Drive north on Tremont Avenue - 23rd Street.
61,1,"[-94.791642, 29.299112]",Turn left onto Avenue K.
61,2,"[-94.792524, 29.29888]",Your destination is on the right.
62,0,"[-94.792524, 29.29888]",Drive west on Avenue K.
62,1,"[-94.793926, 29.298516]",Turn right onto Rosenberg Avenue - 25th Street.
62,2,"[-94.794895, 29.301337]",Turn left onto Ball Street - Avenue H.
62,3,"[-94.796156, 29.301008]",Turn right onto 26th Street.
62,4,"[-94.7963, 29.301436]",Turn right.
62,5,"[-94.795851, 29.301551]",Your destination is on the right.
63,0,"[-94.795851, 29.301551]",Drive east.
63,1,"[-94.795451, 29.301653]",Your destination is on the left.
64,0,"[-94.795451, 29.301653]",Drive east.
64,1,"[-94.795163, 29.301727]",Turn right onto Rosenberg Avenue - 25th Street.
64,2,"[-94.795018, 29.301307]",Make a left U-turn at Ball Street - Avenue H to stay on Rosenberg Avenue - 25th Street.
64,3,"[-94.794938, 29.301464]",Your destination is on the right.
65,0,"[-94.794938, 29.301464]",Drive north on Rosenberg Avenue - 25th Street.
65,1,"[-94.795193, 29.302212]",Turn right onto Winnie Street - Avenue G.
65,2,"[-94.794056, 29.30251]",Turn left onto Mitchell Avenue - 24th Street.
65,3,"[-94.794275, 29.303158]",Your destination is on the left.
66,0,"[-94.794275, 29.303158]",Drive north on Mitchell Avenue - 24th Street.
66,1,"[-94.794493, 29.303801]",Turn left.
66,2,"[-94.795234, 29.303607]",Your destination is on the right.
67,0,"[-94.795234, 29.303607]",Drive west.
67,1,"[-94.795633, 29.303503]",Turn right onto Rosenberg Avenue - 25th Street.
67,2,"[-94.795786, 29.303949]",Turn right onto Postoffice Street - Avenue E.
67,3,"[-94.795445, 29.304035]",Your destination is on the left.
68,0,"[-94.795445, 29.304035]",Drive east on Postoffice Street - Avenue E.
68,1,"[-94.794861, 29.304183]",Your destination is on the right.
69,0,"[-94.794861, 29.304183]",Drive east on Postoffice Street - Avenue E.
69,1,"[-94.793499, 29.304534]",Turn right onto Tremont Avenue - 23rd Street.
69,2,"[-94.793352, 29.304103]",Turn left.
69,3,"[-94.793154, 29.304155]",Your destination is on the right.
70,0,"[-94.793154, 29.304155]",Drive east.
70,1,"[-94.792206, 29.304406]",Turn right onto Kempner Avenue - 22nd Street.
70,2,"[-94.79206, 29.30398]",Turn right onto Church Street - Avenue F.
70,3,"[-94.793206, 29.303682]",Turn right onto Tremont Avenue - 23rd Street.
70,4,"[-94.793352, 29.304103]",Turn right.
70,5,"[-94.793182, 29.304148]",Your destination is on the left.
72,0,"[-94.793954, 29.305368]",Drive east on Market Street.
72,1,"[-94.792021, 29.305882]",Turn right.
72,2,"[-94.791949, 29.305674]",Turn right.
72,3,"[-94.792003, 29.305662]",You have arrived at your destination.
73,0,"[-94.792003, 29.305662]",Drive east.
73,1,"[-94.791949, 29.305674]",Turn left.
73,2,"[-94.792021, 29.305882]",Turn left onto Market Street.
73,3,"[-94.792652, 29.305711]",Turn left onto Kempner Avenue - 22nd Street.
73,4,"[-94.792355, 29.304833]",Turn left onto Postoffice Street - Avenue E.
73,5,"[-94.792068, 29.304909]",Your destination is on the left.
74,0,"[-94.792068, 29.304909]",Drive east on Postoffice Street - Avenue E.
74,1,"[-94.791853, 29.304965]",Your destination is on the left.
75,0,"[-94.791853, 29.304965]",Drive east on Postoffice Street - Avenue E.
75,1,"[-94.79155, 29.305045]",Your destination is on the right.
76,0,"[-94.79155, 29.305045]",Drive east on Postoffice Street - Avenue E.
76,1,"[-94.791459, 29.30507]",Your destination is on the right.
77,0,"[-94.791459, 29.30507]",Drive north on Postoffice Street - Avenue E.
77,1,"[-94.791459, 29.30507]",Your destination is on the right.
78,0,"[-94.791459, 29.30507]",Drive east on Postoffice Street - Avenue E.
78,1,"[-94.791363, 29.305095]",Your destination is on the left.
79,0,"[-94.791363, 29.305095]",Drive east on Postoffice Street - Avenue E.
79,1,"[-94.791211, 29.305135]",Turn left onto Moody Avenue - 21st Street.
79,2,"[-94.791325, 29.305468]",Your destination is on the right.
80,0,"[-94.791325, 29.305468]",Drive north on Moody Avenue - 21st Street.
80,1,"[-94.791364, 29.305582]",Turn right.
80,2,"[-94.791208, 29.305623]",Your destination is on the right.
81,0,"[-94.791208, 29.305623]",Drive east.
81,1,"[-94.790147, 29.305902]",Turn left onto 20th Street.
81,2,"[-94.790318, 29.306349]",Turn left onto Market Street.
81,3,"[-94.791514, 29.30602]",Turn left onto Moody Avenue - 21st Street.
81,4,"[-94.791325, 29.305468]",Your destination is on the left.
82,0,"[-94.791325, 29.305468]",Drive south on Moody Avenue - 21st Street.
82,1,"[-94.791211, 29.305135]",Turn left onto Postoffice Street - Avenue E.
82,2,"[-94.791056, 29.305177]",Your destination is on the left.
83,0,"[-94.791056, 29.305177]",Drive east on Postoffice Street - Avenue E.
83,1,"[-94.790664, 29.305282]",Your destination is on the right.
84,0,"[-94.790664, 29.305282]",Drive east on Postoffice Street - Avenue E.
84,1,"[-94.790049, 29.305446]",Turn left onto 20th Street.
84,2,"[-94.790246, 29.306188]",Your destination is on the right.
85,0,"[-94.790246, 29.306188]",Drive north on 20th Street.
85,1,"[-94.790318, 29.306349]",Turn right onto Market Street.
85,2,"[-94.789222, 29.306614]",Turn left onto 19th Street.
85,3,"[-94.789357, 29.307053]",Turn right.
85,4,"[-94.789166, 29.307103]",Your destination is on the left.
86,0,"[-94.789166, 29.307103]",Drive east.
86,1,"[-94.789134, 29.307112]",Turn right.
86,2,"[-94.788991, 29.30667]",Turn right onto Market Street.
86,3,"[-94.789222, 29.306614]",Turn right onto 19th Street.
86,4,"[-94.789731, 29.308139]",Your destination is on the right.
87,0,"[-94.789731, 29.308139]",Drive north on 19th Street.
87,1,"[-94.789997, 29.308952]",Your destination is on the right.
88,0,"[-94.789997, 29.308952]",Drive north on 19th Street.
88,1,"[-94.790092, 29.309251]",Turn left onto Harborside Drive/TX 275.
88,2,"[-94.791267, 29.308944]",Turn right onto 20th Street.
88,3,"[-94.791526, 29.309709]",Turn right onto Wharf Road.
88,4,"[-94.791211, 29.309857]",Your destination is on the left.
