Original_Index,Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Latitude,Longitude,Cumulative_Distance,Truck_Load
118,PJ’s coffee,1.0,1.0,"712 Texas Avenue, Galveston (UTMB)",29.3115,-94.7781,34710,82
29,Mosquito Cafe,1.0,1.0,"628 14th Street, Galveston",29.3057,-94.7825,36020,83
30,PattyCakes Bakery,1.0,1.0,"704 14th Street, Galveston",29.3054,-94.7824,36055,84
21,Shykatz,1.0,2.0,"1528 Avenue L, Galveston",29.3006,-94.7832,36808,86
51,Monarch Restaurant,1.0,1.0,"2024 Seawall Boulevard, Galveston",29.2926,-94.7864,38056,87
74,Bubba Gump Shrimp Co.,1.0,1.0,"2501 Seawall Boulevard, Galveston",29.2878,-94.7902,38768,88
94,Redfish Pool Bar,1.0,1.0,"3788 Seawall Boulevard, Galveston",29.2799,-94.8038,40349,89
113,Golden Corral Buffet & Grill,1.0,1.0,"6200 Seawall Boulevard, Galveston",29.2661,-94.8283,43272,90
31,Sapori,1.0,1.0,"7611 Stewart Road, Galveston",29.2593,-94.8413,45094,91
122,Galveston Primetime,2.0,2.0,"8902 Seawall Boulevard, Galveston Movie theatre)",29.253,-94.8542,46763,93
120,Dolphin World Inc No 2,1.0,1.0,"718 41st Str Galveston, TX 77550",29.2517,-94.8532,47098,94
125,Jimmy's Curbside Restaurant and Grocery,1.0,2.0,"9001 Seawall Boulevard, Galveston",29.2507,-94.8532,47191,96
124,SEA BEAN Coffee Cafe,1.0,2.0,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",29.2506,-94.8532,47197,98
157,Seahorse Grill,1.0,1.0,"3802 Cove View Blvd Ste C Galveston, TX 77554",29.2445,-94.868,48918,99
168,Seawall Coffee Company,1.0,2.0,,29.2446,-94.8678,48939,101
33,Cooper's Landing,1.0,1.0,"11150 Termini-San Luis Pass Road, Galveston",29.2407,-94.878,50078,102
133,Hummel's General Store & Deli,1.0,2.0,,29.2082,-94.9375,56979,104
141,Mario's Pizza,1.0,1.0,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",29.2083,-94.9374,57005,105
45,Nate's Westend Seafood & Steaks,1.0,1.0,"17515 Termini-San Luis Pass Road, Galveston",29.1752,-94.9851,62989,106
129,Galveston Food Truck Park,1.0,1.0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",29.1415,-95.0405,69553,107
60,The West End Marina and Restaurants,1.0,1.0,"21706 Burnet Drive, Galveston",29.145,-95.047,70533,108
149,The Sandbar Grille,1.0,1.0,"21706 Burnet Drive, Galveston",29.145,-95.0471,70535,109
143,Waterman's Restaurant,1.0,1.0,"14302 Stewart Rd Galveston, TX 77554",29.2074,-94.9492,83576,110
39,Lil’ Buffalo Grille,1.0,1.0,"13 Evia Main, Galveston",29.2611,-94.8706,94865,111
1,Sugar Bean,1.0,1.0,"11 Evia Main, Galveston",29.261,-94.8704,94924,112
126,Tin Cup's Caddy Shack,1.0,1.0,"9020 Stewart Road, Galveston",29.2539,-94.8556,97375,113
57,Schlitterbahn Waterpark Galveston,6.0,8.0,"2109 Gene Lucas Blvd, Galveston",29.2704,-94.8517,99929,121
0,Moody Gardens,0.0,0.0,"1 Hope Blvd, Galveston",29.2736,-94.8523,100434,121
